OLD,NEW
19.62,15.86
16.74,35.79
19.21,18.92
16.84,23.95
13.83,24.59
16.29,21.1
18.52,27.93
21.81,20.39
21,15.58
21.25,17.86
19.19,19.03
17.63,19.23
17.48,18.75
19.63,18.57
20.89,21.77
17.47,24.53
16.64,23.2
20.21,23.31
19.4,20.84
20.15,20.39
18.78,17.9
19.66,18.74
17.43,17.19
20.94,19.75
18.85,23.9
22.24,17.65
21.3,14.91
18.71,21.65
20.47,18.1
19.59,20.78
17.65,22.88
21.07,17.99
20.04,18.44
23.15,27.73
20.33,20.44
18.81,21.43
18.32,19.52
15.41,20.95
22.16,20.38
15.4,25.03
18.23,22.98
16.8,25.18
21.36,19.12
17.32,21.19
20.13,15.73
20.15,20.7
19.08,13.15
19.28,21.62
20.05,13.27
15.89,15.45
21.82,12.21
17.43,18.51
19.75,24.63
24.01,20.87
20.57,17.01
17.84,22.25
22.02,24.53
18.89,22.79
16.06,15.89
19.99,13.77
14.13,18.43
19.34,21.31
19.64,16.78
19.6,20.86
20.83,11.19
18.15,21.46
21.06,22.48
19.05,17.38
20.95,15.79
16.74,23.47
22.11,22.76
17.68,19.6
18.91,18.58
19.97,20.43
20.68,16.9
17.29,21.02
16.43,20.18
17.49,16.47
18.55,24.69
14.49,24.27
19.71,17.64
16.54,19.81
18.75,21.78
18.73,19.55
16.66,20.65
20.95,18.39
18.49,18.91
18.42,17.33
18.67,19.64
14.75,18.17
18.37,8.77
15.59,16.83
21.61,20.24
18.95,21.75
20.47,25.45
20.13,21.24
16.2,21.64
19.71,21.12
24.25,23.05
19.09,15.76
